date,quote_id,character,anime,youtube_id,youtube_url,duration_sec
2026-08-09T12:12:17.611Z,q-64f5f62e51bc,"Sachi","Sword Art Online",RAGEpitXiO0,https://youtube.com/shorts/RAGEpitXiO0,21.7
2026-08-09T15:10:09.836Z,longform-1786287847306,"compilation: Never Giving Up","5 quotes",OsyPD0U7kwQ,https://youtube.com/watch?v=OsyPD0U7kwQ,0.0
2026-08-09T15:28:27.270Z,q-39eb2553d621,"Brook","One Piece",1JTNXBHDXSo,https://youtube.com/shorts/1JTNXBHDXSo,32.3
2026-08-09T15:58:43.857Z,q-cda5444c9b82,"Tanjiro Kamado","Demon Slayer",CPnn95YXmA8,https://youtube.com/shorts/CPnn95YXmA8,33.8
2026-08-09T17:22:29.031Z,q-1167f006c216,"Edward Elric","Fullmetal Alchemist: Brotherhood",6KzXN2L2mqo,https://youtube.com/shorts/6KzXN2L2mqo,46.2
2026-08-09T18:01:43.540Z,q-6e1bc81c2573,"Rudeus Greyrat","Mushoku Tensei: Jobless Reincarnation Season 3",a1vVVA9V_vw,https://youtube.com/shorts/a1vVVA9V_vw,32.5
2026-08-09T18:55:02.574Z,q-3b627018d413,"Kojirou","Pokémon",vSBjLBstQSI,https://youtube.com/shorts/vSBjLBstQSI,32.2
2026-08-09T19:07:36.248Z,longform-1786302077846,"compilation: Never Giving Up","4 quotes",_ltNHkRAo9A,https://youtube.com/watch?v=_ltNHkRAo9A,92.2
2026-08-10T02:24:49.415Z,q-cb3ae5617670,"Sanji","One Piece",NGM3RW6mpFE,https://youtube.com/shorts/NGM3RW6mpFE,32.6
2026-08-10T06:10:49.518Z,q-2b6a853ac007,"Rudeus Greyrat","Mushoku Tensei: Jobless Reincarnation Season 3",z3zHyawV6D8,https://youtube.com/shorts/z3zHyawV6D8,30.3
